1.10-歷年各鄉鎮市區人口數  Population for Township and District since 1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人 Unit : Persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
區域別,,70年底,75年底,80年底,81年底,82年底,83年底,84年底,85年底,86年底,87年底,88年底,89年底,90年底,91年底,92年底,93年底,94年底,95年底,96年底,97年底,98年底,99年底,100年底,101年底,102年底,,,,
Locality,,"End of 
中區,Central District ,"40,460","43,656","34,447","33,564","33,291","31,772","28,282","26,815","25,554","24,700","23,557","23,096","23,420","23,536","23,535","23,762","24,062","23,527","24,010","23,603","23,228","22,472","21,610","20,647","20,008",木柵區,"74,255","90,489",
東區,East District ,"78,832","77,842","76,654","75,909","74,999","73,406","72,098","70,808","70,737","70,104","70,277","70,575","70,662","70,146","70,342","70,529","72,374","73,091","73,748","74,072","73,891","73,969","73,960","74,282","74,572",景美區,"99,442","119,981",
南區,South District ,"64,516","66,906","70,868","71,871","73,321","75,663","79,671","84,030","88,032","91,182","95,450","98,779","100,747","103,189","104,911","105,943","107,272","109,243","110,358","111,878","112,722","113,659","115,032","116,807","118,349",士林區,"232,655","277,338",
西區,West District ,"99,559","108,566","111,233","112,308","111,749","110,793","109,797","109,576","110,061","109,966","111,197","112,650","113,768","114,883","115,561","116,401","116,676","116,156","116,812","117,325","117,390","117,365","117,210","116,784","116,397",北投區,"193,334","221,962",
北區,North District,"109,360","124,020","141,110","143,194","143,735","143,746","144,632","145,115","146,634","145,067","146,265","148,037","148,225","148,367","147,928","147,249","146,787","146,665","147,469","147,721","147,529","147,639","147,679","147,798","147,880",,,,
西屯區,Situn District ,"72,552","93,768","117,068","122,274","127,655","134,364","141,324","148,426","156,957","161,594","166,736","173,071","177,288","181,513","184,926","188,656","192,996","195,444","197,900","201,333","203,680","206,536","209,672","212,750","215,485",,,,
南屯區,Nantun District ,"43,145","53,080","65,100","71,511","78,958","81,272","89,093","96,765","103,579","109,853","116,666","123,287","127,769","132,001","135,899","138,674","139,808","143,597","145,983","148,206","150,884","153,779","155,768","158,300","159,952",,,,
北屯區,Beitun District ,"98,814","127,724","157,717","164,329","172,893","181,638","188,324","194,849","200,407","205,322","210,441","216,295","221,815","223,071","226,285","230,078","232,803","236,669","239,618","241,990","244,311","246,880","249,742","252,668","255,978",,,,
豐原區,Fongyuan District,"128,944","142,552","154,175","155,959","156,906","157,548","158,315","158,847","159,580","160,256","161,032","161,104","161,589","162,115","162,828","163,228","163,746","164,051","164,619","165,238","165,245","165,433","165,609","166,085","166,090",,,,
東勢區,Dongshih District,"60,143","61,256","61,237","61,499","61,157","60,753","60,612","60,462","60,043","59,647","58,560","57,858","57,410","57,105","56,762","56,230","55,681","55,259","54,790","54,201","53,696","53,259","52,780","52,403","51,953",,,,
大甲區,Dajia District,"65,498","70,040","74,542","75,298","76,069","76,783","77,287","77,713","77,945","78,013","78,059","78,406","78,483","78,809","79,303","79,643","79,636","79,496","79,264","78,917","78,707","78,387","78,118","77,986","77,847",,,,
清水區,Cingshuei District,"76,954","80,140","82,890","83,827","84,302","84,368","84,284","84,276","84,503","84,624","84,754","85,135","85,038","85,331","85,560","85,700","85,572","85,728","85,948","85,770","85,743","85,620","85,629","85,734","86,061",,,,
沙鹿區,Shalu District,"58,102","64,367","69,117","69,911","69,925","70,505","70,741","70,760","71,149","71,689","71,781","72,486","73,069","73,631","74,353","75,043","75,862","77,273","78,436","79,553","80,640","81,534","83,238","84,797","86,305",,,,
梧棲區,Wuci District,"34,053","38,977","43,307","44,086","45,421","46,702","47,367","48,026","48,598","49,365","49,572","50,127","50,678","51,137","51,810","52,378","53,166","53,723","54,195","54,748","54,943","55,262","55,544","55,857","56,008",,,,
后里區,Houli District,"50,503","52,315","54,032","54,575","54,890","55,114","54,989","54,847","54,852","54,875","54,953","55,386","55,350","55,554","55,674","55,042","54,776","54,630","54,562","54,566","54,401","54,287","54,033","54,089","54,076",,,,
神岡區,Shengang District,"45,094","48,592","53,701","55,332","56,428","57,516","58,347","59,257","60,184","60,861","61,571","62,487","62,881","63,186","63,624","63,852","63,817","64,230","64,271","64,159","63,982","63,753","63,921","64,534","64,899",,,,
