1.10-歷年各鄉鎮市區人口數  Population for Township and District since 1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人 Unit : Persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
區域別,,70年底,75年底,80年底,81年底,82年底,83年底,84年底,85年底,86年底,87年底,88年底,89年底,90年底,91年底,92年底,93年底,94年底,95年底,96年底,97年底,98年底,99年底,100年底,101年底,102年底,,,,
Locality,,"End of 
泰武鄉,Taiwu Township ,"4,718","4,606","4,547","4,585","4,677","4,717","4,708","4,790","4,776","4,774","4,814","4,764","4,821","4,909","4,901","4,875","5,032","4,971","4,918","4,919","5,122","5,099","5,089","5,062","5,131",,,,
來義鄉,Laiyi Township ,"7,465","7,473","7,610","7,688","7,797","7,840","7,868","7,960","7,975","8,007","8,071","7,965","8,011","8,048","8,018","7,938","7,905","7,886","7,791","7,694","7,883","7,764","7,688","7,651","7,610",,,,
春日鄉,Chunrih Township ,"5,238","5,180","5,232","5,220","5,278","5,264","5,345","5,314","5,284","5,249","5,180","5,123","5,121","5,090","5,081","5,043","5,042","5,026","5,001","4,927","4,866","4,821","4,842","4,831","4,823",,,,
獅子鄉,Shihzih Township ,"5,188","5,256","5,250","5,232","5,283","5,325","5,296","5,287","5,283","5,238","5,214","5,139","5,113","5,091","5,079","5,022","5,035","5,023","4,971","4,949","4,983","4,873","4,815","4,789","4,776",,,,
牡丹鄉,Mudan Township ,"5,829","5,506","5,326","5,304","5,501","5,538","5,590","5,384","5,426","5,351","5,267","5,153","5,119","5,084","4,977","4,912","5,014","4,965","4,870","4,865","5,004","4,995","4,920","4,836","4,777",,,,
臺東縣,Taitung County,"281,100","272,477","255,887","255,362","255,536","254,718","254,375","253,831","253,002","249,937","247,801","245,312","244,612","243,965","242,842","240,373","238,943","235,957","233,660","231,849","232,497","230,673","228,290","226,252","224,821",,,,
臺東市,Taitung City ,"110,721","110,461","108,086","108,353","108,606","109,189","110,095","110,921","111,646","111,060","111,039","110,941","110,894","110,899","110,916","110,920","110,690","110,559","110,204","109,839","109,576","108,870","108,310","107,720","107,316",,,,
成功鎮,Chenggong Township ,"24,070","22,548","20,643","20,499","20,287","20,205","20,394","20,250","19,786","19,366","19,075","18,687","18,469","18,234","17,828","17,438","17,087","16,713","16,422","16,189","15,984","15,810","15,542","15,253","15,051",,,,
關山鎮,Guanshan Township ,"13,636","12,834","11,947","11,877","11,976","11,839","11,808","11,725","11,562","11,333","11,224","11,020","10,962","10,821","10,624","10,421","10,297","10,095","9,987","9,880","9,849","9,715","9,559","9,425","9,268",,,,
卑南鄉,Beinan Township ,"24,420","22,747","21,534","21,015","20,931","20,999","20,810","20,699","20,539","20,496","20,367","20,162","20,057","19,926","19,649","19,408","19,033","18,745","18,447","18,324","18,379","18,231","18,055","17,834","17,763",,,,
大武鄉,Dawu Township ,"8,403","7,953","7,350","7,273","7,308","7,232","7,019","6,988","7,006","6,997","6,767","6,660","6,739","6,942","8,100","7,638","7,730","7,372","7,085","6,890","7,160","7,012","6,790","6,632","6,531",,,,
太麻里鄉,Taimali Township ,"16,036","15,561","14,503","14,522","14,561","14,495","14,454","14,468","14,150","13,871","13,690","13,435","13,348","13,277","13,104","12,829","12,586","12,413","12,210","12,136","12,094","12,014","11,823","11,669","11,595",,,,
東河鄉,Donghe Township ,"17,206","16,705","13,629","14,076","14,180","13,805","13,257","12,915","12,491","12,036","11,636","11,240","10,998","10,873","10,605","10,330","10,224","9,915","9,729","9,532","9,523","9,329","9,222","9,108","8,992",,,,
長濱鄉,Changbin Township,"15,134","14,007","12,368","12,245","12,212","12,104","11,950","11,726","11,567","11,138","10,819","10,480","10,228","10,024","9,710","9,469","9,206","8,987","8,839","8,611","8,477","8,291","8,031","7,869","7,733",,,,
鹿野鄉,Luye Township ,"13,144","12,167","11,027","11,210","11,113","10,816","10,738","10,635","10,457","10,298","10,169","9,971","9,809","9,745","9,550","9,452","9,457","9,128","8,940","8,747","8,676","8,584","8,403","8,304","8,229",,,,
池上鄉,Chihshang Township ,"14,109","13,043","11,772","11,696","11,718","11,666","11,595","11,551","11,368","11,117","10,914","10,715","10,508","10,397","10,180","9,953","9,893","9,650","9,478","9,366","9,356","9,196","9,012","8,824","8,679",,,,
綠島鄉,Lyudao Township ,"3,797","4,367","3,546","3,144","3,043","2,802","2,634","2,513","2,810","2,743","2,717","2,799","3,246","3,289","3,201","3,132","3,145","3,026","3,093","3,156","3,331","3,358","3,400","3,462","3,580",,,,
延平鄉,Yanping Township ,"4,478","4,284","4,017","3,976","4,004","3,946","3,929","3,891","3,863","3,815","3,764","3,708","3,729","3,769","3,692","3,720","3,768","3,703","3,629","3,566","3,621","3,599","3,560","3,551","3,552",,,,
海端鄉,Haiduan Township ,"5,154","5,168","5,022","5,050","5,058","5,030","4,976","4,954","4,927","4,871","4,862","4,823","4,786","4,742","4,692","4,674","4,654","4,619","4,576","4,537","4,535","4,510","4,408","4,379","4,363",,,,
達仁鄉,Daren Township ,"4,593","4,343","4,170","4,193","4,233","4,259","4,267","4,185","4,341","4,308","4,245","4,170","4,203","4,141","4,047","3,959","3,990","3,815","3,739","3,722","4,103","4,095","3,965","3,832","3,762",,,,
金峰鄉,Jinfong Township ,"3,323","3,325","3,262","3,228","3,299","3,341","3,426","3,416","3,437","3,395","3,369","3,358","3,401","3,441","3,388","3,373","3,422","3,348","3,322","3,329","3,526","3,560","3,519","3,520","3,502",,,,
蘭嶼鄉,Lanyu Township ,"2,876","2,964","3,011","3,005","3,007","2,990","3,023","2,994","3,052","3,093","3,144","3,143","3,235","3,445","3,556","3,657","3,761","3,869","3,960","4,025","4,307","4,499","4,691","4,870","4,905",,,,
花蓮縣,Hualien County,"357,530","359,340","353,490","355,609","357,464","358,247","358,981","358,660","358,077","356,601","355,686","353,630","353,139","352,154","351,146","349,149","347,298","345,303","343,302","341,433","340,964","338,805","336,838","335,190","333,897",,,,
花蓮市,Hualien City ,"103,625","106,265","107,504","107,090","107,441","107,824","108,192","108,414","109,095","108,777","108,407","107,815","108,103","107,525","108,145","109,324","109,582","109,573","109,847","110,035","109,945","109,251","108,755","108,077","107,281",,,,
鳳林鎮,Fonglin Township ,"19,636","18,014","15,993","15,912","15,740","15,653","15,399","15,208","14,923","14,565","14,273","14,027","13,831","13,634","13,427","13,113","13,022","12,680","12,451","12,308","12,174","11,957","11,712","11,532","11,397",,,,
玉里鎮,Yuli Township ,"41,592","40,428","36,789","36,455","35,588","35,038","34,507","34,323","33,701","33,494","32,984","32,319","31,822","31,202","30,718","29,860","29,363","28,659","28,138","27,685","27,279","26,879","26,452","26,055","25,695",,,,
新城鄉,Sincheng Township ,"18,236","19,135","19,286","19,510","19,791","20,184","20,406","20,334","20,455","20,479","20,517","20,554","20,702","20,978","21,215","21,042","21,032","20,822","20,501","20,322","20,324","20,206","20,130","20,131","20,148",,,,
吉安鄉,Jian Township ,"49,681","55,902","63,023","65,909","67,360","68,618","70,156","71,374","72,130","73,632","75,202","76,577","76,953","77,916","78,401","78,018","77,869","78,739","78,922","79,048","79,445","79,688","80,464","81,325","82,157",,,,
壽豐鄉,Shoufong Township ,"25,282","23,848","21,520","21,457","21,530","21,642","21,466","21,225","21,229","20,899","20,702","20,594","20,498","20,436","20,298","20,198","20,029","19,641","19,325","19,111","18,908","18,660","18,494","18,265","18,109",,,,
光復鄉,Guangfu Township ,"21,375","20,110","18,809","18,910","18,820","18,295","18,140","17,947","17,566","17,279","16,988","16,507","16,309","16,114","15,825","15,551","15,325","14,930","14,680","14,388","14,271","14,120","13,837","13,613","13,459",,,,
豐濱鄉,Fongbin Township ,"8,747","8,382","7,634","7,564","7,455","7,381","7,326","7,203","7,096","6,839","6,615","6,405","6,345","6,138","5,939","5,694","5,619","5,472","5,356","5,174","5,135","5,065","4,857","4,668","4,632",,,,
瑞穗鄉,Rueisuei Township ,"18,649","18,449","16,895","16,803","16,787","16,676","16,591","16,142","16,018","15,796","15,520","15,208","14,859","14,671","14,420","14,149","13,919","13,620","13,380","13,163","13,086","12,863","12,588","12,372","12,170",,,,
富里鄉,Fuli Township ,"19,827","18,560","16,002","15,850","16,162","15,910","15,871","15,596","15,136","14,228","13,986","13,526","13,510","13,448","13,191","12,841","12,478","12,282","12,049","11,811","11,869","11,667","11,387","11,189","10,966",,,,
秀林鄉,Sioulin Township ,"14,565","14,224","14,355","14,428","14,959","15,211","15,183","15,131","15,149","15,213","15,316","15,283","15,460","15,494","15,312","15,280","15,115","15,005","14,951","14,904","15,107","15,244","15,173","15,167","15,267",,,,
萬榮鄉,Wanrong Township ,"8,000","7,872","7,788","7,860","7,957","7,914","7,895","8,004","7,942","7,927","7,837","7,675","7,635","7,610","7,398","7,321","7,224","7,216","7,137","7,027","7,001","6,856","6,756","6,612","6,495",,,,
卓溪鄉,Jhuosi Township ,"8,315","8,151","7,892","7,861","7,874","7,901","7,849","7,759","7,637","7,473","7,339","7,140","7,112","6,988","6,857","6,758","6,721","6,664","6,565","6,457","6,420","6,349","6,233","6,184","6,121",,,,
澎湖縣,Penghu County,"105,674","100,927","95,446","95,085","95,288","92,645","90,937","90,087","91,169","89,463","89,013","89,496","92,268","92,446","92,253","91,808","92,489","91,785","92,390","93,308","96,210","96,918","97,157","98,843","100,400",,,,
馬公市,Magong City ,"55,567","55,091","53,531","53,595","53,398","53,049","52,639","52,218","50,913","52,105","52,229","52,722","53,132","53,848","54,009","53,997","54,049","53,942","54,566","55,126","56,435","57,061","57,468","58,490","59,502",,,,
湖西鄉,Husi Township ,"15,680","14,492","14,551","14,741","15,086","13,930","13,286","12,980","13,122","12,786","12,619","12,673","12,943","13,114","13,035","12,933","12,976","12,933","12,860","13,017","13,520","13,660","13,699","13,915","14,221",,,,
白沙鄉,Baisha Township ,"11,346","10,452","9,798","9,664","9,636","9,311","9,144","8,977","9,386","8,992","8,995","9,003","9,559","9,559","9,446","9,253","9,354","9,219","9,176","9,202","9,458","9,471","9,412","9,491","9,591",,,,
西嶼鄉,Siyu Township ,"11,413","10,763","9,634","9,451","9,384","9,126","8,973","8,742","9,127","8,528","8,361","8,264","8,593","8,507","8,420","8,308","8,309","8,163","8,171","8,177","8,483","8,437","8,354","8,354","8,403",,,,
望安鄉,Wangan Township ,"6,686","5,642","4,217","4,052","4,119","3,845","3,624","4,000","5,211","4,000","3,790","3,840","4,946","4,321","4,194","4,190","4,587","4,393","4,426","4,502","4,743","4,747","4,661","4,995","5,021",,,,
七美鄉,Cimei Township ,"4,982","4,487","3,715","3,582","3,665","3,384","3,271","3,170","3,410","3,052","3,019","2,994","3,095","3,097","3,149","3,127","3,214","3,135","3,191","3,284","3,571","3,542","3,563","3,598","3,662",,,,
基隆市,Keelung City,"347,828","349,616","355,894","359,482","363,037","364,520","368,771","374,199","379,370","382,118","385,201","388,425","390,966","391,450","392,242","392,337","391,727","390,633","390,397","388,979","388,321","384,134","379,927","377,153","374,914",,,,
中正區,Jhongjheng District ,"63,839","61,761","62,310","62,168","61,910","61,819","61,654","60,507","60,159","59,734","59,549","59,498","59,585","59,498","59,436","59,127","58,844","58,029","57,601","56,803","56,247","55,271","54,447","54,020","53,571",,,,
七堵區,Cidu District ,"60,283","71,140","51,885","53,453","54,495","55,091","55,787","56,181","56,033","55,617","55,889","56,170","56,069","55,684","55,526","55,519","55,251","55,111","55,169","55,199","55,496","55,161","54,711","54,217","54,041",,,,
暖暖區,Nuannuan District ,"22,255","24,670","26,540","27,249","28,062","28,999","30,670","33,191","35,819","35,848","36,725","37,572","38,244","38,245","38,433","38,500","38,372","38,548","38,469","38,210","38,095","37,958","37,943","37,851","37,860",,,,
仁愛區,Renai District ,"71,692","66,254","62,902","62,392","62,163","60,579","58,662","56,438","54,198","53,796","52,286","51,074","50,341","49,607","49,048","48,588","49,327","49,981","50,362","50,340","50,400","49,581","48,717","47,741","47,034",,,,
中山區,Jhongshan District ,"40,875","33,796","49,377","49,369","49,074","48,874","49,528","50,291","51,183","51,707","52,444","53,308","54,097","54,457","54,496","54,141","53,784","52,973","52,330","51,908","51,574","50,909","50,297","49,794","49,254",,,,
安樂區,Anle District ,"47,830","51,132","60,333","61,821","63,417","65,294","67,404","70,580","74,374","77,296","79,059","80,664","81,900","83,418","84,237","85,025","84,954","84,904","85,303","85,117","84,859","84,017","82,779","82,285","81,906",,,,
信義區,Sinyi District ,"41,054","40,863","42,547","43,030","43,916","43,864","45,066","47,011","47,604","48,120","49,249","50,139","50,730","50,541","51,066","51,437","51,195","51,087","51,163","51,402","51,650","51,237","51,033","51,245","51,248",,,,
新竹市,Hsinchu City,"284,737","306,088","328,911","332,707","335,460","338,140","340,255","345,954","351,800","356,243","361,958","368,439","373,296","378,797","382,897","386,950","390,692","394,757","399,035","405,371","411,587","415,344","420,052","425,071","428,483",,,,
東區,East District ,"243,218","306,088","157,676","158,665","159,925","161,067","162,463","165,436","169,041","170,060","172,098","175,176","177,796","180,958","183,381","185,530","186,903","187,962","190,163","192,396","194,927","197,254","200,092","203,119","204,578",,,,
北區,North District,,,"120,338","121,995","122,472","122,221","121,494","122,713","123,497","124,567","126,350","128,325","129,742","130,809","131,919","133,497","135,275","137,630","139,039","141,823","144,484","145,441","146,212","147,561","148,041",,,,
香山區,Siangshan District ,"41,519",,"50,897","52,047","53,063","54,852","56,298","57,805","59,262","61,616","63,510","64,938","65,758","67,030","67,597","67,923","68,514","69,165","69,833","71,152","72,176","72,649","73,748","74,391","75,864",,,,
嘉義市,Chiayi City,"251,840","254,001","258,468","258,698","258,599","260,368","261,391","262,860","262,822","263,050","265,109","266,183","267,993","267,907","269,594","270,341","271,701","272,364","273,075","273,793","273,861","272,390","271,526","271,220","270,872",,,,
東區,East District ,,"254,001","130,002","130,704","130,108","130,311","130,082","130,021","128,818","128,979","130,052","130,112","130,754","131,286","132,362","132,115","128,921","128,482","128,497","128,284","127,736","125,297","124,495","124,242","123,821",,,,
西區,West District ,,,"128,466","127,994","128,491","130,057","131,309","132,839","134,004","134,071","135,057","136,071","137,239","136,621","137,232","138,226","142,780","143,882","144,578","145,509","146,125","147,093","147,031","146,978","147,051",,,,
福建省,Fuchien Prov.,"58,447","54,472","48,989","50,128","51,410","52,082","523,250","53,985","59,499","57,715","58,291","60,565","65,809","67,696","69,789","73,815","80,609","86,277","91,493","94,325","103,722","107,308","113,989","124,421","132,878",,,,
金門縣,Kinmen County,"50,248","47,779","43,442","44,170","45,807","46,516","47,394","47,924","51,080","51,060","51,731","53,832","56,958","58,933","60,983","64,456","70,264","76,491","81,547","84,570","93,803","97,364","103,883","113,111","120,713",,,,
金城鎮,Jincheng Township ,"16,564","15,933","14,878","15,138","15,562","15,807","15,978","16,130","17,068","17,158","17,394","18,201","19,327","19,988","20,784","22,035","23,892","25,964","27,954","28,840","31,563","32,315","34,245","36,974","39,062",,,,
金湖鎮,Jinhu Township ,"8,780","8,141","7,026","10,207","10,543","10,642","10,824","10,939","11,802","11,452","11,574","12,001","12,496","13,027","13,514","14,228","15,575","17,149","18,203","18,720","20,467","21,328","22,738","24,623","26,074",,,,
金沙鎮,Jinsha Township ,"10,535","10,747","10,096","7,403","7,763","7,843","8,017","8,135","8,597","8,561","8,660","8,997","9,531","9,807","10,054","10,631","11,567","12,375","13,035","13,514","14,851","15,324","16,301","17,543","18,567",,,,
金寧鄉,Jinning Township ,"8,773","8,050","7,250","7,181","7,514","7,769","8,016","8,100","8,749","8,719","8,894","9,273","9,942","10,285","10,687","11,436","12,628","13,821","14,832","15,588","17,836","18,938","20,520","22,939","25,118",,,,
烈嶼鄉,Lieyu Township ,"5,408","4,756","4,094","4,156","4,320","4,357","4,469","4,527","4,738","4,787","4,826","4,994","5,248","5,448","5,580","5,747","6,103","6,710","7,091","7,451","8,580","8,921","9,515","10,424","11,236",,,,
烏坵鄉,Wuciou Township ,188,152,98,85,105,98,90,93,126,383,383,366,414,378,364,379,499,472,432,457,506,538,564,608,656,,,,
連江縣,Lienchiang County,"8,199","6,693","5,547","5,958","5,603","5,566","5,856","6,061","8,419","6,655","6,560","6,733","8,851","8,763","8,806","9,359","10,345","9,786","9,946","9,755","9,919","9,944","10,106","11,310","12,165",,,,
南竿鄉,Nangan Township ,"4,293","3,555","3,049","3,454","3,176","3,196","3,429","3,437","4,437","3,717","3,709","3,870","5,224","4,896","5,101","5,505","6,025","5,846","5,945","5,798","5,939","5,904","6,000","6,780","7,288",,,,
北竿鄉,Beigan Township ,"1,873","1,530","1,246","1,290","1,200","1,203","1,226","1,255","1,869","1,354","1,324","1,337","1,866","1,885","1,774","1,831","1,932","1,804","1,824","1,762","1,755","1,801","1,864","2,071","2,268",,,,
莒光鄉,Jyuguang Township ,"1,148",824,545,545,585,536,573,683,"1,337",813,754,746,873,"1,087","1,036","1,109","1,420","1,176","1,180","1,183","1,166","1,186","1,163","1,327","1,438",,,,
東引鄉,Dongyin Township ,885,784,707,669,642,631,628,686,776,771,773,780,888,895,895,914,968,960,997,"1,012","1,059","1,053","1,079","1,132","1,171",,,,
資料來源：本部戶政司。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Source : Dept. of Household Registration Affairs, MOI.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
